"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:ELISA","Return this for him to remember me.","私を思い出せるよう、これ彼に返してあげて。"
"traveler:ELISA","Thank you so much.","どうもありがとう。"
"traveler:ELISA","I will never forget your kindness.","この恩は一生忘れないわ。"
"traveler:ELISA","@He is waiting for you.","@彼が待ってますよ。"
"traveler:ELISA","My love.","愛しい人。"
"traveler:ELISA","I miss him.","ずっと会いたかった。"
"traveler:ELISA","@I am sorry. Sergiu was killed.","@申し訳ない。Sergiuは殺された。"
"traveler:ELISA","My Sergiu.","私のSergiu。"
"traveler:ELISA","Thank you for your kindness.","ご親切にありがとう。"
"traveler:ELISA","There is nothing for me here any more.","ここにはもうナニもないわ。"
"traveler:ELISA","Thank you.","ありがとうね。"
"traveler:PRISON_GUARD_REPORTDETAINS","You detained nobody.","1人も拘束しなかったな。"
"traveler:PRISON_GUARD_REPORTDETAINS","You detained only one person.","1人しか拘束しなかったな。"
"traveler:PRISON_GUARD_REPORTDETAINS","You detained ${Game/NumDetains} people.","${Game/NumDetains}人拘束したな。"
"traveler:PRISON_GUARD0","Hello.","やぁ。"
"traveler:PRISON_GUARD0","@Are you the spy?","@貴方がスパイ？"
"traveler:PRISON_GUARD0","What? No.","は？いや違う。"
"traveler:PRISON_GUARD0","I am guard here. My name is Calensk.","ここの護衛のCalenskだ。"
"traveler:PRISON_GUARD0","They told me I get good position, then send me here.","良いところだと聞いて、ここに配備された。"
"traveler:PRISON_GUARD0","This is thanks I get.","これに感謝している。"
"traveler:PRISON_GUARD0","Now they pay me almost nothing.","だが、給料はないようなものだな。"
"traveler:PRISON_GUARD0","@They pay us all as much.","@私も同じようなものです。"
"traveler:PRISON_GUARD0","Yes. But look.","ああ。だが、聞いてくれ。"
"traveler:PRISON_GUARD0","I get small bonus when you detain people.","アンタが拘束する度、手当が少し入るんだ。"
"traveler:PRISON_GUARD0","More you detain, more they give me for processing.","アンタが拘束すればするほど、私は連行手当がもらえる。"
"traveler:PRISON_GUARD0","But this is not fair, right? You should get something too.","でも、それって不公平だろ？アンタも何かもらえるべきだ。"
"traveler:PRISON_GUARD0","So I fix this problem.","そこで、だ。"
"traveler:PRISON_GUARD0","I give you 5 credits from my bonus for every two people you detain.","2人拘束する度、私の手当から5クレジット出す。"
"traveler:PRISON_GUARD0","Sounds like good deal to me.","おいしい話だと思うが。"
"traveler:PRISON_GUARD0","I give money to you after I get paid.","手当が払われたら渡しに来る。"
"traveler:PRISON_GUARD0","Let us make the best of this.","互いに最善を尽くそう。"
"traveler:PRISON_GUARD3","Here.","受け取ってくれ。"
"traveler:PRISON_GUARD3","For bonus and selling bomb parts.","手当と爆弾の部品を売った分だ。"
"traveler:PRISON_GUARD3","They move our station to prison.","私たちは牢の方に移されることになった。"
"traveler:PRISON_GUARD3","We still get bonus so keep detaining.~","手当は変わらず支給されるから拘束を続けてくれ。~"
"traveler:PRISON_GUARD3","I stop visiting you here.","ここを訪れるのは今日で最後だ。"
"traveler:PRISON_GUARD3","I will drop off money at your home instead.","これからはアンタの家に金を置いていく。"
"traveler:PRISON_GUARD3","Every other night.","1日おきに、夜に寄るよ。"
"traveler:PRISON_GUARD_PAYOUT","What is going on?","一体どうした？"
"traveler:PRISON_GUARD_PAYOUT","I am getting nothing because of you.","アンタのせいで手当が一切もらえない。"
"traveler:PRISON_GUARD_PAYOUT","Detain more people and we will both benefit.","もっと拘束すれば、互いの利益になる。"
"traveler:PRISON_GUARD_PAYOUT","Good morning.","おはよう。"
"traveler:PRISON_GUARD_PAYOUT","You are not detaining enough people.","拘束人数が足りないな。"
"traveler:PRISON_GUARD_PAYOUT","I have nothing to give you.","これじゃ、分け前はないな。"
"traveler:PRISON_GUARD_PAYOUT","Detain more to share part of my bonus.","手当を分けられるように、もっと拘束してくれ。"
"traveler:PRISON_GUARD_PAYOUT","Bonus is good, they pay ok.","手当は悪くない。ちゃんと支払われている。"
"traveler:PRISON_GUARD_PAYOUT","It is not much though.","だが、十分ではない。"
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people and we do better.","拘束人数を増やしてくれた方が互いにとって良いだろう。"
"traveler:PRISON_GUARD_PAYOUT","@This is not enough.","@これじゃ足りません。"
"traveler:PRISON_GUARD_PAYOUT","Yes, I know.","ああ、わかっている。"
"traveler:PRISON_GUARD_PAYOUT","My wife sick now. Neighbor spreads the flu.","女房が倒れてな。近所でインフルエンザが流行ってる。"
"traveler:PRISON_GUARD_PAYOUT","This is what is left after medicine.","薬を買ったら、残りがこれだけだ。"
"traveler:PRISON_GUARD_PAYOUT","I give you rest next time.","あとはまた今度渡す。"
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people to make it easier.","拘束を増やしてくれれば、もっと楽になるだろう。"
"traveler:PRISON_GUARD_PAYOUT","Here is your cut.","これがアンタの取り分だ。"
"traveler:PRISON_GUARD_PAYOUT","@There is more from last time.","@前回よりは増えましたね。"
"traveler:PRISON_GUARD_PAYOUT","This is all I have now but soon I make up rest.","今はこれで精一杯だが、次までにはなんとかする。"
"traveler:PRISON_GUARD_PAYOUT","Again it is a little short.","まだ少し数が足りないな。"
"traveler:PRISON_GUARD_PAYOUT","Keep detaining and I pay you back soon.","拘束を続けてくれ。すぐにちゃんと支払う。"
"traveler:PRISON_GUARD_BOMB","What is going on?","一体何があった？"
"traveler:PRISON_GUARD_BOMB","Oh. Hah.","ほう、なるほど。"
"traveler:PRISON_GUARD_BOMB","What is this amateur shit?","何だ、この素人仕事は？"
"traveler:PRISON_GUARD_BOMB","@Should we evacuate?","@避難すべきですかね？"
"traveler:PRISON_GUARD_BOMB","For that little thing? No of course not.","このちっこいののためにか？バカを言うな。"
"traveler:PRISON_GUARD_BOMB","Just disable it. Open the cover.","解除するんだ。フタを開けてみろ。"
"traveler:PRISON_GUARD_BOMB","Stupid fucking terrorist.","無能なクソテロリストめ。"
"traveler:PRISON_GUARD_BOMB","Could not even add a display.","ディスプレイさえ、ありゃしない。"
"traveler:PRISON_GUARD_BOMB","@What should I do now?","@それで、どうしたら？"
"traveler:PRISON_GUARD_BOMB","This is poorest bomb I ever see. A simple mind created this.","こんなヒドイ爆弾は初めて見たな。単細胞が作ったんだろう。"
"traveler:PRISON_GUARD_BOMB","Just cut the wires in order.","順番にワイヤを切ればいい。"
"traveler:PRISON_GUARD_BOMB","Ok, all done. Back to work.","よし完了だ。仕事に戻ろう。"
"traveler:PRISON_GUARD_BOMB","@We should close the checkpoint.","@検問所を閉鎖すべきでは？"
"traveler:PRISON_GUARD_BOMB","Bullshit. I need to earn money today.","馬鹿言え。今日も稼がなきゃならん。"
"traveler:PRISON_GUARD_BOMB","Give bomb to me.","爆弾を渡してくれ。"
"traveler:PRISON_GUARD_BOMB","I sell materials and give you cut.","部品を売っ払って、その分け前を渡すよ。"
"traveler:PRISON_GUARD_BOMB","What a piece of shit.","しかし、なんてヒドい代物だ。"
"traveler:PRISON_GUARD_BOMB","I doubt it is even worth much.","大したカネにはならんだろう。"
"traveler:PRISON_GUARD_BOMB","Call the next immigrant.","さあ、次の入国希望者を呼ぶんだ。"
"traveler:TIME_BOMBER","DEATH TO ARSTOTZKA!","アルストツカに死を！"
"traveler:BOSS_REPORTCITATIONS","You have received no citations.","通告を1つも受けていないようだな。"
"traveler:BOSS_REPORTCITATIONS","You have received one citation.","受けた通告は1つだけか。"
"traveler:BOSS_REPORTCITATIONS","You have received ${Game/NumCitations} citations.","受けた通告は${Game/NumCitations}個か。"
"traveler:BOSS0","So.~","ふむ。~"
"traveler:BOSS0","You are inspector here.~","君がここの審査官か。~"
"traveler:BOSS0","That makes you my responsibility.~","つまり君は私の管理下にある。~"
"traveler:BOSS0","You make Arstotzka proud.~","君はアルストツカの誇りだ。~"
"traveler:BOSS0","Hang it on wall here.","壁に掛けておけ。"
"traveler:BOSS0","I return in 10 days.~","10日後、また来る。~"
"traveler:BOSS0","Maintain your diligence.","引き続き励むように。"
"traveler:BOSS0","Glory to Arstotzka.","アルストツカに栄光あれ。"
"traveler:BOSS0","Perhaps it was mistake to rely on lottery.","抽選制度は間違いだな。"
"traveler:BOSS0","Let this motivate you.~","もっと精進するように。~"
"traveler:BOSS0","Do not embarrass me.","私をがっかりさせるな。"
"traveler:BOSS0","It makes me look like fool to trust lottery.~","抽選に頼ったのが間違いか。~"
"traveler:BOSS0","Let this motivate you to improve.~","これを機に態度を改めろ。~"
"traveler:BOSS0","Do not embarrass me further.","これ以上がっかりさせるな。"
"traveler:BOSS1","It is too early to come all the way out here.","わざわざここへ出向くのはまだ早かった。"
"traveler:BOSS1","The smell at this checkpoint makes me sick.","ここの検問所の空気は吐き気がする。"
"traveler:BOSS1","Where is plaque I gave you?","贈られた額はどうした？"
"traveler:BOSS1","Why is it not on wall?","なぜ壁に飾らない？"
"traveler:BOSS1","What is other shit hanging here?","一緒に掛けてる、このゴミはなんだ？"
"traveler:BOSS1","These walls are for official plaques only.","壁に公式な額以外飾るな。"
"traveler:BOSS1","Your pay will be docked for violation.","違反行為分は給与から差し引く。"
"traveler:BOSS1","@It will not happen again.","@これから気をつけます。"
"traveler:BOSS1","At least you are performing well.","仕事ぶりはいいからまだいいが。"
"traveler:BOSS1","Continue this honorable service.","今後もこの名誉ある職務を全うするように。"
"traveler:BOSS1","At least your performance is not terrible.","仕事ぶりは問題ないからまだいいが。"
"traveler:BOSS1","Do not slip further.","これ以上ミスを犯すな。"
"traveler:BOSS1","And your performance is terrible.","しかも仕事ぶりにも問題がある。"
"traveler:BOSS1","Maybe you have forgotten what your job is.","自分の職務を理解していないのではないかね。"
"traveler:BOSS1","There are many more who can take your place.","代わりはいくらでもいるのだよ。"
"traveler:BOSS1","Now.","さて。"
"traveler:BOSS1","I have old friend coming through.","古い友人が訪ねて来ることになっている。"
"traveler:BOSS1","Approve her entry.","彼女を通してくれ。"
"traveler:BOSS1","She is Shae Piersovska.~","名は、Shae Piersovskaだ。~"
"traveler:BOSS1","I do not want to hear of any trouble to her.","彼女に面倒をかけることがないように。"
"traveler:BOSS1","Glory to Arstotzka.","アルストツカに栄光あれ。"
"traveler:BOSS2","You little bastard.~","おいクズ。~"
"traveler:BOSS2","Shae thinks I am powerless fool now.","Shaeは、私を無力な能無しと思っている。"
"traveler:BOSS2","It was made very clear to let her through.","彼女を通すようにはっきり伝えたはずだ。"
"traveler:BOSS2","Now I must think about the consequences for you.~","キミの最後を考えておいてやる。"
"traveler:BOSS2","Maybe this place not so bad.","ここも悪くないな。"
"traveler:BOSS2","With everything going on, checkpoint visit is nice break.~","すべてが忙しく稼働する今、つかの間の休憩にもなる。~"
"traveler:BOSS2","You still do not hang the plaques.","まだ額を飾っていないじゃないか。"
"traveler:BOSS2","Why do you not hang both plaques?","なぜ2つとも額を飾らない？"
"traveler:BOSS2","But again you have unauthorized items on wall.","また許可されていないものを飾っているな。"
"traveler:BOSS2","I warned before.~","前にも注意した。~"
"traveler:BOSS2","But what is other shit hanging here?","しかも、一緒に掛けてあるこのゴミはなんだ？"
"traveler:BOSS2","These walls are for official plaques only.","この壁に公式な額以外飾るな。"
"traveler:BOSS2","Your pay will be docked for violation.","違反行為分は給与から差し引く。"
"traveler:BOSS2","@It will not happen again.","@これから気をつけます。"
"traveler:BOSS2","There are no more plaques.","もう貴様に額は贈らんぞ。"
"traveler:BOSS_BUDDY","How is Dimitri?","Dimitriは元気かしら？"
"traveler:BOSS_BUDDY","I hear he runs checkpoint now.","この検問所を任されてると聞いたわ。"
"traveler:BOSS_BUDDY","It looks like somewhere he would fit in.","彼にはお似合いの場所ね。"
"traveler:BOSS_BUDDY","I bet he is still terrible boss.","きっと今も酷い上官なんでしょ。"
"traveler:BOSS_BUDDY","You know, Dimitri asked me to come.","Dimitriに来るよう言われたの。"
"traveler:BOSS_BUDDY","Said I would get through.","通れるからって。"
"traveler:BOSS_BUDDY","But I guess he is not so much in control.","でも彼にはそんな力はないようね。"
